merchant_id,merchant_category,city
1,pharmacy,Lahore
2,grocery,Faisalabad
3,online_retail,Karachi
4,restaurant,Faisalabad
5,entertainment,Rawalpindi
6,fuel,Multan
7,entertainment,Rawalpindi
8,pharmacy,Lahore
9,online_retail,Rawalpindi
10,grocery,Faisalabad
11,grocery,Faisalabad
12,electronics,Islamabad
13,utilities,Faisalabad
14,utilities,Faisalabad
15,online_retail,Islamabad
16,electronics,Faisalabad
17,grocery,Islamabad
18,restaurant,Multan
19,travel,Rawalpindi
20,pharmacy,Lahore
21,online_retail,Lahore
22,fuel,Faisalabad
23,utilities,Faisalabad
24,entertainment,Lahore
25,online_retail,Islamabad
26,pharmacy,Karachi
27,pharmacy,Karachi
28,electronics,Multan
29,electronics,Multan
30,entertainment,Karachi
31,pharmacy,Islamabad
32,restaurant,Karachi
33,electronics,Karachi
34,clothing,Karachi
35,restaurant,Multan
36,restaurant,Rawalpindi
37,electronics,Karachi
38,travel,Faisalabad
39,utilities,Multan
40,travel,Rawalpindi
41,utilities,Rawalpindi
42,utilities,Islamabad
43,pharmacy,Karachi
44,travel,Lahore
45,travel,Faisalabad
46,clothing,Islamabad
47,utilities,Lahore
48,pharmacy,Multan
49,electronics,Islamabad
50,travel,Faisalabad
51,grocery,Lahore
52,pharmacy,Islamabad
53,electronics,Rawalpindi
54,electronics,Multan
55,utilities,Multan
56,online_retail,Faisalabad
57,utilities,Multan
58,grocery,Faisalabad
59,utilities,Rawalpindi
60,fuel,Islamabad
61,utilities,Faisalabad
62,entertainment,Karachi
63,grocery,Faisalabad
64,electronics,Islamabad
65,electronics,Multan
66,restaurant,Lahore
67,fuel,Rawalpindi
68,travel,Faisalabad
69,entertainment,Multan
70,utilities,Karachi
71,pharmacy,Islamabad
72,clothing,Faisalabad
73,online_retail,Islamabad
74,utilities,Lahore
75,pharmacy,Lahore
76,pharmacy,Lahore
77,entertainment,Rawalpindi
78,online_retail,Islamabad
79,clothing,Rawalpindi
80,utilities,Karachi
81,pharmacy,Lahore
82,utilities,Rawalpindi
83,restaurant,Islamabad
84,clothing,Rawalpindi
85,online_retail,Karachi
86,utilities,Rawalpindi
87,electronics,Islamabad
88,entertainment,Faisalabad
89,pharmacy,Karachi
90,entertainment,Lahore
91,online_retail,Multan
92,pharmacy,Lahore
93,pharmacy,Islamabad
94,restaurant,Karachi
95,pharmacy,Faisalabad
96,fuel,Karachi
97,restaurant,Karachi
98,electronics,Islamabad
99,electronics,Multan
100,entertainment,Rawalpindi
101,entertainment,Lahore
102,pharmacy,Multan
103,restaurant,Multan
104,online_retail,Karachi
105,restaurant,Karachi
106,utilities,Karachi
107,travel,Lahore
108,online_retail,Islamabad
109,fuel,Faisalabad
110,utilities,Islamabad
111,travel,Karachi
112,entertainment,Karachi
113,clothing,Faisalabad
114,fuel,Islamabad
115,utilities,Faisalabad
116,travel,Islamabad
117,online_retail,Multan
118,entertainment,Faisalabad
119,restaurant,Karachi
120,utilities,Karachi
121,clothing,Lahore
122,travel,Islamabad
123,entertainment,Lahore
124,entertainment,Lahore
125,clothing,Lahore
126,restaurant,Islamabad
127,travel,Multan
128,restaurant,Faisalabad
129,electronics,Karachi
130,travel,Islamabad
131,grocery,Faisalabad
132,grocery,Faisalabad
133,entertainment,Islamabad
134,fuel,Faisalabad
135,electronics,Islamabad
136,fuel,Lahore
137,pharmacy,Lahore
138,pharmacy,Karachi
139,restaurant,Lahore
140,clothing,Faisalabad
141,restaurant,Rawalpindi
142,travel,Faisalabad
143,utilities,Lahore
144,electronics,Lahore
145,clothing,Karachi
146,restaurant,Multan
147,utilities,Multan
148,online_retail,Lahore
149,clothing,Karachi
150,clothing,Lahore
