txn_id,customer_id,merchant_id,amount,timestamp,city,is_fraud
20445,523,32,247.17,2026-01-01 04:27:00,Multan,1
8687,342,33,46.67,2026-01-01 04:39:00,Lahore,0
5884,233,122,51.88,2026-01-01 06:10:00,Faisalabad,0
10088,397,126,13.87,2026-01-01 06:52:00,Rawalpindi,0
16789,662,147,26.57,2026-01-01 07:11:00,Lahore,0
12657,498,143,51.18,2026-01-01 07:18:00,Karachi,0
1467,59,2,32.98,2026-01-01 07:32:00,Faisalabad,0
6711,265,34,116.42,2026-01-01 08:03:00,Multan,0
15788,622,79,77.61,2026-01-01 08:05:00,Multan,0
2939,116,47,82.29,2026-01-01 08:07:00,Rawalpindi,0
19854,785,95,30.65,2026-01-01 08:08:00,Rawalpindi,0
3000,118,40,94.62,2026-01-01 08:19:00,Karachi,0
15214,600,75,42.85,2026-01-01 08:19:00,Faisalabad,0
10283,405,96,57.75,2026-01-01 08:36:00,Multan,0
4714,188,33,39.26,2026-01-01 08:38:00,Lahore,0
457,19,82,11.82,2026-01-01 08:48:00,Islamabad,0
2502,99,50,54.21,2026-01-01 08:49:00,Karachi,0
19565,773,58,47.61,2026-01-01 08:53:00,Lahore,0
17224,679,69,47.98,2026-01-01 09:00:00,Multan,0
17924,706,67,14.92,2026-01-01 09:02:00,Faisalabad,0
12733,501,7,24.72,2026-01-01 09:03:00,Multan,0
5243,208,18,148.45,2026-01-01 09:04:00,Multan,0
10288,405,105,42.88,2026-01-01 09:20:00,Multan,0
1716,68,109,48.75,2026-01-01 09:21:00,Multan,0
17422,687,40,66.7,2026-01-01 09:25:00,Karachi,0
13903,547,11,48.04,2026-01-01 09:31:00,Faisalabad,0
15077,594,133,60.87,2026-01-01 09:32:00,Multan,0
7217,284,86,44.37,2026-01-01 09:37:00,Faisalabad,0
17268,680,145,37.75,2026-01-01 09:50:00,Lahore,0
17958,708,6,48.28,2026-01-01 09:51:00,Multan,0
13664,538,4,40.68,2026-01-01 09:59:00,Faisalabad,0
19257,760,78,80.0,2026-01-01 10:00:00,Karachi,0
20102,795,125,13.89,2026-01-01 10:01:00,Lahore,0
17686,697,41,25.75,2026-01-01 10:04:00,Rawalpindi,0
9745,385,134,54.06,2026-01-01 10:04:00,Rawalpindi,0
15639,617,130,37.28,2026-01-01 10:05:00,Multan,0
3700,148,73,24.69,2026-01-01 10:09:00,Rawalpindi,0
11937,469,19,32.67,2026-01-01 10:21:00,Karachi,0
13651,538,102,8.81,2026-01-01 10:22:00,Faisalabad,0
5737,227,56,35.62,2026-01-01 10:22:00,Faisalabad,0
15564,614,61,14.85,2026-01-01 10:24:00,Faisalabad,0
5373,213,29,37.95,2026-01-01 10:24:00,Islamabad,0
20101,795,127,11.88,2026-01-01 10:30:00,Lahore,0
13140,518,76,25.83,2026-01-01 10:51:00,Faisalabad,0
17323,683,36,98.67,2026-01-01 10:53:00,Lahore,0
10471,412,45,66.39,2026-01-01 11:09:00,Faisalabad,0
16856,664,144,43.07,2026-01-01 11:09:00,Lahore,0
15102,595,139,52.49,2026-01-01 11:10:00,Multan,0
18199,718,22,117.82,2026-01-01 11:15:00,Lahore,0
2189,88,30,44.22,2026-01-01 11:16:00,Lahore,0
9907,390,2,14.35,2026-01-01 11:18:00,Faisalabad,0
15863,626,13,17.4,2026-01-01 11:22:00,Multan,0
19795,782,2,31.75,2026-01-01 11:30:00,Multan,0
15951,628,24,50.4,2026-01-01 11:30:00,Rawalpindi,0
15178,598,108,44.06,2026-01-01 11:36:00,Faisalabad,0
12699,499,37,79.79,2026-01-01 11:43:00,Multan,0
12353,486,129,20.74,2026-01-01 11:48:00,Multan,0
17818,702,63,23.89,2026-01-01 11:49:00,Islamabad,0
14676,579,119,21.91,2026-01-01 11:54:00,Faisalabad,0
14474,571,82,22.6,2026-01-01 12:01:00,Faisalabad,0
1273,52,73,34.78,2026-01-01 12:03:00,Faisalabad,0
19686,778,134,25.29,2026-01-01 12:04:00,Rawalpindi,0
2923,115,39,42.21,2026-01-01 12:07:00,Karachi,0
2868,113,117,45.8,2026-01-01 12:15:00,Lahore,0
13029,513,21,27.89,2026-01-01 12:18:00,Islamabad,0
14850,586,119,44.16,2026-01-01 12:20:00,Rawalpindi,0
11723,461,40,51.17,2026-01-01 12:21:00,Faisalabad,0
19906,787,50,76.92,2026-01-01 12:21:00,Faisalabad,0
4892,195,133,14.39,2026-01-01 12:23:00,Karachi,0
6900,273,121,109.85,2026-01-01 12:23:00,Faisalabad,0
1311,53,16,21.95,2026-01-01 12:27:00,Karachi,0
1535,62,136,40.9,2026-01-01 12:28:00,Lahore,0
16454,648,58,50.73,2026-01-01 12:32:00,Multan,0
4224,168,27,15.2,2026-01-01 12:33:00,Rawalpindi,0
15391,607,72,48.11,2026-01-01 12:38:00,Karachi,0
1874,75,76,10.13,2026-01-01 12:40:00,Faisalabad,0
5701,226,87,19.28,2026-01-01 12:45:00,Rawalpindi,0
2112,85,69,10.47,2026-01-01 12:45:00,Multan,0
12087,475,74,47.29,2026-01-01 12:48:00,Islamabad,0
10151,399,109,65.32,2026-01-01 12:55:00,Faisalabad,0
18427,727,82,14.78,2026-01-01 13:06:00,Multan,0
16333,643,23,34.41,2026-01-01 13:06:00,Lahore,0
2172,87,132,48.11,2026-01-01 13:10:00,Faisalabad,0
17606,694,147,8.64,2026-01-01 13:11:00,Karachi,0
12284,483,82,26.58,2026-01-01 13:12:00,Islamabad,0
15579,615,64,47.35,2026-01-01 13:12:00,Karachi,0
9339,368,6,62.62,2026-01-01 13:22:00,Lahore,0
11077,436,125,44.77,2026-01-01 13:24:00,Karachi,0
12619,497,125,17.43,2026-01-01 13:25:00,Lahore,0
573,23,68,27.96,2026-01-01 13:26:00,Islamabad,0
10537,415,110,55.74,2026-01-01 13:27:00,Rawalpindi,0
6768,267,35,23.1,2026-01-01 13:29:00,Multan,0
4525,181,13,103.76,2026-01-01 13:29:00,Islamabad,0
10200,401,116,23.9,2026-01-01 13:33:00,Karachi,0
1550,62,81,35.24,2026-01-01 13:40:00,Lahore,0
10669,420,117,11.39,2026-01-01 13:42:00,Rawalpindi,0
12391,488,30,58.06,2026-01-01 13:45:00,Lahore,0
432,18,63,47.6,2026-01-01 13:47:00,Karachi,0
9392,370,46,28.29,2026-01-01 13:54:00,Faisalabad,0
17989,709,64,46.51,2026-01-01 13:55:00,Faisalabad,0
11968,470,61,15.27,2026-01-01 13:55:00,Lahore,0
10823,427,89,14.58,2026-01-01 13:56:00,Rawalpindi,0
3316,131,75,19.66,2026-01-01 13:59:00,Karachi,0
16348,643,140,68.86,2026-01-01 14:00:00,Lahore,0
4686,187,51,21.88,2026-01-01 14:03:00,Multan,0
12021,472,86,115.86,2026-01-01 14:03:00,Faisalabad,0
5078,202,92,40.01,2026-01-01 14:09:00,Karachi,0
6405,254,73,54.77,2026-01-01 14:10:00,Multan,0
5462,217,124,42.15,2026-01-01 14:19:00,Islamabad,0
7619,299,80,8.45,2026-01-01 14:19:00,Multan,0
7526,296,24,3.59,2026-01-01 14:20:00,Lahore,0
14950,590,133,60.11,2026-01-01 14:22:00,Islamabad,0
15978,629,108,54.17,2026-01-01 14:23:00,Rawalpindi,0
8320,328,37,3.75,2026-01-01 14:24:00,Faisalabad,0
18378,725,105,69.41,2026-01-01 14:28:00,Multan,0
18468,729,22,49.99,2026-01-01 14:33:00,Rawalpindi,0
17802,701,26,82.41,2026-01-01 14:34:00,Lahore,0
1923,77,47,328.95,2026-01-01 14:36:00,Rawalpindi,0
2113,85,47,18.36,2026-01-01 14:36:00,Multan,0
9442,372,135,61.62,2026-01-01 14:41:00,Rawalpindi,0
11010,434,138,40.86,2026-01-01 14:42:00,Karachi,0
19379,766,114,21.72,2026-01-01 14:48:00,Islamabad,0
2147,86,127,33.25,2026-01-01 14:51:00,Multan,0
17799,701,146,137.24,2026-01-01 14:51:00,Lahore,0
15127,596,56,61.63,2026-01-01 14:51:00,Karachi,0
1698,68,107,56.29,2026-01-01 14:52:00,Multan,0
12387,488,25,85.55,2026-01-01 14:54:00,Lahore,0
12682,499,31,62.67,2026-01-01 14:58:00,Multan,0
19466,770,110,74.65,2026-01-01 15:04:00,Rawalpindi,0
11495,453,94,25.54,2026-01-01 15:11:00,Karachi,0
4748,189,116,23.12,2026-01-01 15:12:00,Islamabad,0
9396,370,139,20.41,2026-01-01 15:19:00,Faisalabad,0
11146,439,71,100.6,2026-01-01 15:24:00,Lahore,0
4786,191,20,24.84,2026-01-01 15:25:00,Lahore,0
15080,594,6,53.0,2026-01-01 15:26:00,Multan,0
15792,623,147,13.62,2026-01-01 15:28:00,Islamabad,0
585,24,137,67.11,2026-01-01 15:34:00,Rawalpindi,0
15525,613,141,67.04,2026-01-01 15:34:00,Karachi,0
4884,194,86,20.38,2026-01-01 15:40:00,Islamabad,0
5369,213,90,31.14,2026-01-01 15:42:00,Islamabad,0
10367,408,77,30.92,2026-01-01 15:43:00,Rawalpindi,0
1252,51,28,92.31,2026-01-01 15:44:00,Karachi,0
15844,625,122,54.51,2026-01-01 15:44:00,Karachi,0
13199,520,1,74.68,2026-01-01 15:45:00,Faisalabad,0
3105,123,57,47.67,2026-01-01 15:48:00,Rawalpindi,0
6789,269,50,15.97,2026-01-01 15:51:00,Karachi,0
11368,448,94,23.49,2026-01-01 15:56:00,Islamabad,0
10529,414,45,47.14,2026-01-01 15:59:00,Karachi,0
12250,481,91,54.36,2026-01-01 16:01:00,Multan,0
20112,795,150,17.9,2026-01-01 16:05:00,Lahore,0
6793,269,43,15.44,2026-01-01 16:09:00,Karachi,0
16923,667,39,4.93,2026-01-01 16:11:00,Faisalabad,0
13833,545,148,36.19,2026-01-01 16:13:00,Multan,0
4455,178,5,54.88,2026-01-01 16:15:00,Multan,0
15283,603,3,72.68,2026-01-01 16:16:00,Faisalabad,0
7439,293,57,43.71,2026-01-01 16:17:00,Rawalpindi,0
11758,462,80,82.93,2026-01-01 16:20:00,Multan,0
20031,792,71,12.44,2026-01-01 16:25:00,Rawalpindi,0
3500,139,11,43.99,2026-01-01 16:26:00,Lahore,0
14363,566,133,30.37,2026-01-01 16:29:00,Faisalabad,0
7565,297,138,45.59,2026-01-01 16:37:00,Karachi,0
